1.670000000000000000e+02	1.620000000000000000e+02
2.380000000000000000e+02	1.600000000000000000e+02
1.530000000000000000e+02	1.020000000000000000e+02
1.660000000000000000e+02	3.900000000000000000e+01
1.930000000000000000e+02	1.370000000000000000e+02
1.240000000000000000e+02	1.690000000000000000e+02
1.160000000000000000e+02	1.600000000000000000e+02
1.300000000000000000e+02	2.070000000000000000e+02
5.000000000000000000e+01	7.000000000000000000e+01
2.790000000000000000e+02	6.900000000000000000e+01
8.800000000000000000e+01	1.950000000000000000e+02
9.400000000000000000e+01	2.500000000000000000e+01
2.650000000000000000e+02	5.000000000000000000e+01
1.910000000000000000e+02	1.890000000000000000e+02
8.800000000000000000e+01	1.100000000000000000e+02
6.800000000000000000e+01	7.400000000000000000e+01
2.190000000000000000e+02	6.500000000000000000e+01
8.800000000000000000e+01	3.500000000000000000e+01
2.500000000000000000e+02	3.700000000000000000e+01
2.340000000000000000e+02	4.500000000000000000e+01
1.400000000000000000e+02	1.630000000000000000e+02
7.900000000000000000e+01	1.250000000000000000e+02
1.260000000000000000e+02	1.200000000000000000e+01
3.700000000000000000e+01	1.400000000000000000e+01
1.030000000000000000e+02	4.900000000000000000e+01
9.400000000000000000e+01	8.300000000000000000e+01
1.770000000000000000e+02	9.700000000000000000e+01
2.010000000000000000e+02	1.100000000000000000e+02
1.490000000000000000e+02	2.190000000000000000e+02
2.050000000000000000e+02	3.300000000000000000e+01
1.460000000000000000e+02	8.300000000000000000e+01
1.710000000000000000e+02	1.250000000000000000e+02
2.040000000000000000e+02	2.810000000000000000e+02
1.150000000000000000e+02	7.300000000000000000e+01
3.400000000000000000e+01	8.800000000000000000e+01
4.300000000000000000e+01	2.290000000000000000e+02
